pair_id,customer_tweet_id,apple_tweet_id,customer_text,apple_reply,created_at
1,697,699,The newest update. I️ made sure to download it yesterday.,Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there.,Tue Oct 31 22:36:27 +0000 2017
2,702,701,Tried resetting my settings .. restarting my phone .. all that,Let's go to DM for the next steps. DM us here:,Tue Oct 31 22:26:49 +0000 2017
3,704,703,This is what it looks like,Any steps tried since it started last night?,Tue Oct 31 22:09:52 +0000 2017
4,707,705,I️ have an iPhone 7 Plus and yes I️ do,That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started?,Tue Oct 31 21:57:00 +0000 2017
5,709,708,I️ need answers because it’s annoying 🙃,We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?,Tue Oct 31 21:43:15 +0000 2017
6,714,712,"Hey and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?","Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there.",Tue Oct 31 22:26:29 +0000 2017
7,717,716,This is what is happening...,We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there.,Tue Oct 31 22:24:54 +0000 2017
8,719,718,Tf is wrong with my keyboard,"Fill us in on what is happening, then we can help out from there.",Tue Oct 31 22:05:00 +0000 2017
9,721,720,are the call centres closed for the night?,We've received your DM and will continue there.,Tue Oct 31 22:24:27 +0000 2017
10,723,722,hello are all the lines closed for tonight #help,What's going on? We're hapy to help if we can.,Tue Oct 31 22:17:30 +0000 2017
11,725,724,I️ upgraded. I️t didn’t work.,"Reach out to us via DM, and we can take a look at this with you.",Tue Oct 31 22:22:31 +0000 2017
12,730,729,"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also","You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM:",Tue Oct 31 20:55:34 +0000 2017
13,733,732,I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,Go ahead and send us a DM please. Let us know the country you're in.,Tue Oct 31 22:22:31 +0000 2017
14,735,737,I have the iPhone 6s Plus and just did the most recent update.,"To make sure, is iOS 11.1 installed on it currently? Also, any steps tried so far? DM us here:",Tue Oct 31 22:33:34 +0000 2017
15,736,734,Thank you I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,"We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?",Tue Oct 31 22:22:00 +0000 2017
16,742,743,Okey. Thank you! 🤗,"Our pleasure. If you're still having issues after a back up and update, contact us back. We're happy to help.",Tue Oct 31 23:12:00 +0000 2017
17,740,738,iPhone 7 Plus 😊,Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?,Tue Oct 31 22:21:30 +0000 2017
18,745,744,I need the software update urgently. The battery lasts literally half a day 🙍🏼🙁,Hi there! What type of device are we working with?,Tue Oct 31 22:06:27 +0000 2017
19,747,746,Hola necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️,We offer support via Twitter in English. Get help in Spanish here: or join,Tue Oct 31 18:17:00 +0000 2017
20,749,748,Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support!,We want to help! DM us and let us know more about the issues you are having.,Tue Oct 31 22:18:28 +0000 2017
21,754,753,"Yes it did, 11.0.3","We've just released iOS 11.1. We suggest backing up &amp; updating. Then, test the issue again. Here's how:",Tue Oct 31 22:17:29 +0000 2017
22,756,755,MY HOME BUTTON DOESN’T WORK #IOS11,Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?,Tue Oct 31 20:54:35 +0000 2017
23,758,757,Hey ! Last time I downloaded an update my freaking phone gave me hell. Any recommendations?,We're here to help. Meet us in DM and we can check on available options.,Tue Oct 31 22:16:31 +0000 2017
24,760,759,I can not find an option to get it there. It was just always there when playing.,DM us the specific iOS version you are running currently and we'll continue there.,Tue Oct 31 22:15:28 +0000 2017
25,763,761,The app is still there. But no longer able to control it from the lockscreen.,"Just to confirm, this is only happening with Spotify, correct?",Tue Oct 31 22:01:31 +0000 2017
26,765,764,After update #ios1103 no spotify on my lock screen?,Thanks for reaching out to us. Are you experiencing the missing app after restating your device?,Tue Oct 31 18:33:00 +0000 2017
27,767,766,I just need to do something about the battery life because it sucks ass,We want to help you get your battery life back on track. Please DM and we'll look at it together.,Tue Oct 31 22:15:00 +0000 2017
28,1755,1754,Why does my I️ not work ?! please fix this!!!,We'd like to look into this with you. Please DM us your current iOS version and your iPhone model.,Tue Oct 31 22:41:00 +0000 2017
29,1757,1756,I️ just updated it and it’s still coming up,Let's dig into this further with you. DM us and we'll continue there.,Tue Oct 31 22:40:00 +0000 2017
30,1759,1758,Why is “I️” keep changing to this and how do I️ stop it🤦🏽‍♀️ #anybody,"We definitely understand your concern. Please backup your iPhone, update and let us know the result:",Tue Oct 31 18:31:00 +0000 2017
31,1761,1760,iOS 11 is killing my battery . Fix it.,We're here to help. Which exact iOS version is your device running? This info can be found under Settings &gt; General &gt; About.,Tue Oct 31 22:38:00 +0000 2017
32,1763,1765,"Thanks, thing is I still have like 81 cents in credit and won't let me do that until I have zero credit",Try contacting our iTunes Store team here for more help:,Tue Oct 31 22:52:00 +0000 2017
33,1764,1762,"Hello, I need some help regarding the region change on my Apple ID",This article should help with that:,Tue Oct 31 22:36:00 +0000 2017
34,1768,1767,"it has, but not for some time now. i’ve tried with two different apple ids but it’s still not showing up on my phone",Thanks for clarifying. Let's meet in DM so we can do more in-depth on this.,Tue Oct 31 22:35:30 +0000 2017
35,1770,1769,why is my home sharing not working and how do i fix it,We're happy to help. Has Home Sharing worked with these devices before?,Tue Oct 31 22:14:00 +0000 2017
36,1772,1774,"iPhone 6, yes ios11. Checked for updates, none available. I’ve swiped up to close the app several times and I’ve restarted it 2x","To make sure, is iOS 11.1 showing here: Settings &gt; General &gt; About &gt; Version? Please DM us the answer here:",Tue Oct 31 23:03:01 +0000 2017
37,1775,1777,Battery life just got worst.,"We'll make sure to get this straightened out. DM us, and we'll see you there.",Tue Oct 31 23:12:31 +0000 2017
38,1773,1771,"I just get a white screen and nothing loads. After a short time, it just closes/crashes. Thanks for the reply.",Which model do you have and is iOS 11.1 installed on it? Any steps tried so far?,Tue Oct 31 22:35:00 +0000 2017
39,1779,1778,my PHONE app doesn’t work. Thank you for updating my #iPhone to an #ipod,We want you to be able to make calls on the iPhone. What exactly is going on with the Phone app?,Tue Oct 31 22:09:26 +0000 2017
40,1781,1780,why can’t I change ringer volume with the buttons? Whose dumb idea was it to change that and how do they still have a job?,Let us look into that. What device and OS version are you using?,Tue Oct 31 22:32:25 +0000 2017
41,1783,1782,if my words even mean a thing to you; I am an iPhone 7 owner and have updated to your latest software and now am having the most dropped calls in history and glitch’s such as apps randomly opening and more ... #iHelp,We want to help. Send us a DM letting us know if you are updated to iOS 11.1,Tue Oct 31 22:32:25 +0000 2017
42,1785,1784,epıl bana yardımcı olur musun telefon internet konusunda çok yakıyo napcaz ?,We offer support via Twitter in English. Contact us for help in your preferred language here:,Tue Oct 31 22:31:00 +0000 2017
43,1789,1788,No I had 11.0.3 but now it says 11.1 update so ima go ahead and do that,Please keep us posted afterwards.,Tue Oct 31 21:46:54 +0000 2017
44,1791,1790,why won’t my apps fuccin download or update,Apps are important and we want you to get back to enjoying them. Which model do you have? Is iOS 11.1 installed on it?,Tue Oct 31 21:30:00 +0000 2017
45,2610,2609,$100 billion says that solves my problem? I’m on 11.0.3 currently. Hold please.,Let us know and we'll continue from there.,Tue Oct 31 22:58:00 +0000 2017
46,2613,2611,"Cupertino, we have a problem. . . . .",We'd like to see what we can do to assist. What version of iOS are you currently running? We released iOS 11.1 today.,Tue Oct 31 22:49:27 +0000 2017
47,2615,2617,"Yes, after the update. I Phone 7",Got it. Does this happen while using any particular App or feature? Let us know via a DM. We’ll keep moving forward from there.,Tue Oct 31 23:12:31 +0000 2017
48,2616,2614,"why is my battery life short? I updated to 11.1, my battery is poor. Wife didn’t she likes her battery life","Let’s work together on this situation. To clarify, did this start after updating to iOS 11.1? Also, which device are you using?",Tue Oct 31 22:57:34 +0000 2017
49,2619,2621,But this does not show the music stored on my phone like it did in os3. I do not want to store music on my phone.,We certainly want to take a closer look into this issue. Select the following link to join us in a DM and we'll go from there.,Tue Oct 31 23:21:50 +0000 2017
50,2620,2618,watchOs4 made my watch pointless Browsing music on my phone via the watch was 80% reason for buying it now it’s useless.,You should still be able to control Music on your iPhone from the watch. Check out the user guide here:,Tue Oct 31 22:56:00 +0000 2017
51,2624,2622,"It’s been a few days since made me update my phone’s operating system. Now constantly glitching, hmm 🤔 I’m shocked!",Hi there! iOS 11.1 was released earlier today containing some bug fixes. Let's back up and update:,Tue Oct 31 22:55:32 +0000 2017
52,2627,2629,iOS 11.1 it’s been getting worse for a few months now,Please meet with us in DM. We'd like to gather some additional details from you.,Tue Oct 31 23:20:30 +0000 2017
53,2628,2626,Question- my iPhone6 dies very quick (have to charge it 3 times a day) my iPhone5 battery was faulty. Could this be the same?,"We know how important your battery is &amp; we'll be happy to help. Which iOS version are you using? Also, when did this issue begin?",Tue Oct 31 22:54:53 +0000 2017
54,2631,2633,"iPhone 7+, iOS 11.1","Thank you very much! Send us a DM to let us know if your speaker doesn't work on calls, or if other apps are affected as well.",Tue Oct 31 23:46:00 +0000 2017
55,2632,2630,And why is my music NEVER in my control center?!,We're here to help out! Which device is this on and which version of iOS is currently installed?,Tue Oct 31 22:54:00 +0000 2017
56,2635,2634,"Just updated iOS on iPhone7, now iCloud backup greyed out, cannot be turned on, says “Last Backup Never”",Check out this link: Send us a DM if it doesn't help.,Tue Oct 31 22:53:28 +0000 2017
57,2637,2639,"Hi, I plugged an adapter straight into the transformer and it still didn't charger. The charger LED does not light up either.",We certainly want to take a closer look into this. Select the following link to join us in a DM and we'll go from there.,Tue Nov 07 18:19:00 +0000 2017
58,2638,2636,...cost for sending in for diagnosing a problem if it's out of warranty?,We can help. Let’s start with the following steps to see if we can save you a trip in for service:,Tue Oct 31 22:53:28 +0000 2017
59,2642,2641,still no reliable Bluetooth on my iPhone 8+.,Thanks for reaching out. DM which Bluetooth device you are trying to connect to so we can help.,Tue Oct 31 22:51:00 +0000 2017
60,2644,2646,"When you roll the month, it does not appear and hangs",We'd like to take a closer look at this. DM us and we'll go from there.,Wed Nov 01 13:30:29 +0000 2017
61,2645,2643,when will the bug in the calendar app be fixed? I upgraded to iOS 11.1 and it still crashes when iOS 11.03,We'd like to help. What is going on with the app?,Tue Oct 31 22:51:00 +0000 2017
62,2648,2647,do you have any apps for epilepsy so I can detect my seizures thanks in advance,"Hey, we can provide some guidance. Let's meet in DM and we'll go from there.",Tue Oct 31 22:50:38 +0000 2017
